年度,学校コード,学部(研究科)番号,所在地,連番,学校名,学校種別,学部・研究科名,課程別,昼夜別,学科・専攻名,符号,性別,b-1研究者,b-2農林水産技術者,b-3製造技術者（開発）機械,b-3製造技術者（開発）電気,b-3製造技術者（開発）科学,b-3製造技術者（開発）その他,b-4製造技術者（開発を除く）機械,b-4製造技術者（開発を除く）電気,b-4製造技術者（開発を除く）科学,b-4製造技術者（開発を除く）その他,b-5建築・土木・測量技術者,b-6情報処理・通信技術者,b-7その他の技術者,b-8教員_幼稚園,b-8教員_小学校,b-8教員_中学校,b-8教員_高等学校,b-8教員_中等教育学校,b-8教員_高等専門学校,b-8教員_短期大学,b-8教員_大学,b-8教員_特別支援学校,b-8教員_その他,b-9医師，歯科医師,b-9獣医師,b-9薬剤師,b-10保健師，助産師，看護師,b-11医療技術者,b-12その他の保健医療従事者(栄養士),b-12その他の保健医療従事者(その他),b-13美術・写真・デザイナー・音楽・舞台,b-14その他,a管理的職業従事者,c事務従事者,d販売従事者,eサービス職業従事者,f保安職業従事者,g-1農林業従事者,g-2漁業従事者,h生産工程従事者,i輸送・機械運転従事者,j建設・採掘従事者,k運搬・清掃・包装等従事者,左記以外（職）,職業別計,A農業・林業,B漁業,C鉱業・採石業・砂利採取業,D建設業,E-1食料品・飲料・たばこ・飼料製造業,E-2繊維工業,E-3印刷・同関連業,E-4化学工業・石油製品・石炭製品製造業,E-5鉄鋼業・非鉄金属・金属製品製造業,E-6はん用・生産用・業務用機械器具製造業,E-7電子部品・デバイス・電子回路製造業,E-8電気・情報通信機械器具製造業,E-9輸送用機械器具製造業,E-10その他の製造業,F電気・ガス・熱供給・水道業,G情報通信業,H運輸業・郵便業,I-1卸売業,I-2小売業,J-1金融業,J-2保険業,K-1不動産取引・賃貸・管理業,K-2物品賃貸業,L-1学術・開発研究機関,L-2法務,L-3その他の専門技術サービス業,M宿泊業，飲食サービス業,N生活関連サービス業，娯楽業,O-1学校教育,O-2その他の教育、学習支援業,P-1保険業、保険衛生,P-2社会保険・社会福祉・介護事業,Q複合サービス事業,R-1宗教,R-2その他のサービス業,S-1国家公務,S-2地方公務,左記以外（産）,産業別計
2024,F138110110382,2M02,38,1,愛媛大学,2,医学系研究科,2,1,看護学,O905,男,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1
2024,F138110110382,2M02,38,1,愛媛大学,2,医学系研究科,2,1,看護学,O905,女,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1
2024,F138110110382,2X02,38,1,愛媛大学,2,理工学研究科,2,1,生産環境工学,K313,男,,,34,1,,,6,1,,,14,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,,,,5,,1,,5,3,11,3,6,11,,1,1,2,,,,,1,,,,7,,,,,,,,,,,1,,58
2024,F138110110382,2X02,38,1,愛媛大学,2,理工学研究科,2,1,生産環境工学,K313,女,,,1,,,,,,,,6,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,9,,,,3,,,,,,2,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,9
2024,F138110110382,2X02,38,1,愛媛大学,2,理工学研究科,2,1,物質生命工学,J9L9,男,,,4,5,38,5,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,,,,,2,1,,21,12,3,2,3,3,6,,,,,,,,,,,,,,,,,,,,,1,,,,54
2024,F138110110382,2X02,38,1,愛媛大学,2,理工学研究科,2,1,物質生命工学,J9L9,女,,,,1,9,1,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,1,1,,4,3,,2,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,14
2024,F138110110382,2X02,38,1,愛媛大学,2,理工学研究科,2,1,電子情報工学,G228,男,,,1,15,,1,,4,,,,32,2,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,56,,,,1,,,,1,1,3,3,11,4,2,4,23,,,1,,,,,,,,,,,,,,,,1,1,,,56
2024,F138110110382,2X02,38,1,愛媛大学,2,理工学研究科,2,1,電子情報工学,G228,女,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2024,F138110110382,2X02,38,1,愛媛大学,2,理工学研究科,2,1,数理物質科学,J9BU,男,,,2,,,,,,,,,9,3,,,,2,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,18,,,,,1,,,,1,1,,,,,,9,,1,,,,,,,,1,,,2,1,,,,,,1,,,18
2024,F138110110382,2X02,38,1,愛媛大学,2,理工学研究科,2,1,数理物質科学,J9BU,女,,,,2,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,2,,,,,2,,,,,,,,,,2,,,,,,,,,,,,,6
2024,F138110110382,2X02,38,1,愛媛大学,2,理工学研究科,2,1,環境機能科学,J9CX,男,1,,1,1,8,1,,,,,1,1,1,,,,1,,,,,,,,,,,,,,,2,,,,,,,,,,,,,18,,,,,,,,6,,3,1,1,,,,1,,,,,,,,1,,3,,,1,,,,,,,,1,,18
2024,F138110110382,2X02,38,1,愛媛大学,2,理工学研究科,2,1,環境機能科学,J9CX,女,,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,2,,,,,,,,,,,,,5,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,1,,,,,,1,,,,5
2024,F138110110382,2X06,38,1,愛媛大学,1,法文学部（夜間主）,,2,人文社会,B942,男,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,1,,,,,1,,7,16,,,,,,,,,,28,,,,1,,,,,2,1,1,,1,,1,1,,2,1,6,,,,,,2,,2,,,2,,,,,,5,,28
2024,F138110110382,2X06,38,1,愛媛大学,1,法文学部（夜間主）,,2,人文社会,B942,女,,,,,,,1,,,,,4,,,,1,2,,,,,,,,,,,,,,1,1,,10,13,2,1,,,,,,,,36,,,,1,1,,,,1,,1,,,,,6,3,,7,3,,,,,,1,,1,3,,1,,,,4,1,2,,36
2024,F138110110382,4K11,38,1,愛媛大学,2,連合農学研究科,3,1,生物資源生産学,L907,男,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2024,F138110110382,4K11,38,1,愛媛大学,2,連合農学研究科,3,1,生物資源生産学,L907,女,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,2
2024,F138110110382,4K11,38,1,愛媛大学,2,連合農学研究科,3,1,生物資源利用学,L908,男,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,3
2024,F138110110382,4K11,38,1,愛媛大学,2,連合農学研究科,3,1,生物資源利用学,L908,女,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1
2024,F138110110382,4K11,38,1,愛媛大学,2,連合農学研究科,3,1,生物環境保全学,L909,男,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,2
