年度,学校コード,学部(研究科)番号,所在地,連番,学校名,学校種別,学部・研究科名,課程別,昼夜別,学科・専攻名,符号,性別,b-1研究者,b-2農林水産技術者,b-3製造技術者（開発）機械,b-3製造技術者（開発）電気,b-3製造技術者（開発）科学,b-3製造技術者（開発）その他,b-4製造技術者（開発を除く）機械,b-4製造技術者（開発を除く）電気,b-4製造技術者（開発を除く）科学,b-4製造技術者（開発を除く）その他,b-5建築・土木・測量技術者,b-6情報処理・通信技術者,b-7その他の技術者,b-8教員_幼稚園,b-8教員_小学校,b-8教員_中学校,b-8教員_高等学校,b-8教員_中等教育学校,b-8教員_高等専門学校,b-8教員_短期大学,b-8教員_大学,b-8教員_特別支援学校,b-8教員_その他,b-9医師，歯科医師,b-9獣医師,b-9薬剤師,b-10保健師，助産師，看護師,b-11医療技術者,b-12その他の保健医療従事者(栄養士),b-12その他の保健医療従事者(その他),b-13美術・写真・デザイナー・音楽・舞台,b-14その他,a管理的職業従事者,c事務従事者,d販売従事者,eサービス職業従事者,f保安職業従事者,g-1農林業従事者,g-2漁業従事者,h生産工程従事者,i輸送・機械運転従事者,j建設・採掘従事者,k運搬・清掃・包装等従事者,左記以外（職）,職業別計,A農業・林業,B漁業,C鉱業・採石業・砂利採取業,D建設業,E-1食料品・飲料・たばこ・飼料製造業,E-2繊維工業,E-3印刷・同関連業,E-4化学工業・石油製品・石炭製品製造業,E-5鉄鋼業・非鉄金属・金属製品製造業,E-6はん用・生産用・業務用機械器具製造業,E-7電子部品・デバイス・電子回路製造業,E-8電気・情報通信機械器具製造業,E-9輸送用機械器具製造業,E-10その他の製造業,F電気・ガス・熱供給・水道業,G情報通信業,H運輸業・郵便業,I-1卸売業,I-2小売業,J-1金融業,J-2保険業,K-1不動産取引・賃貸・管理業,K-2物品賃貸業,L-1学術・開発研究機関,L-2法務,L-3その他の専門技術サービス業,M宿泊業，飲食サービス業,N生活関連サービス業，娯楽業,O-1学校教育,O-2その他の教育、学習支援業,P-1保険業、保険衛生,P-2社会保険・社会福祉・介護事業,Q複合サービス事業,R-1宗教,R-2その他のサービス業,S-1国家公務,S-2地方公務,左記以外（産）,産業別計
2024,F113110102700,2G02,13,1,東京大学,2,工学系研究科,2,1,建築学,G303,男,1,,1,,,1,,,,,21,,,,,,,,,,,,,,,,,,,,,,,1,1,2,,,,,,2,,8,38,,,,19,,,,,,,,,1,2,,,,,,2,,4,,1,,,1,,,,,,,,2,,,6,38
2024,F113110102700,2G02,13,1,東京大学,2,工学系研究科,2,1,建築学,G303,女,,,,,,,,,,,15,1,,,,,,,,,,,,,,,,,,,1,1,,,,4,,,,,,,,1,23,,,,11,,,,,,,,,,,,1,,,,,,3,,,,1,,,,,,,3,,2,,,2,23
2024,F113110102700,2G02,13,1,東京大学,2,工学系研究科,2,1,都市工学,G311,男,,,,,,,1,,1,,14,,2,,,,,,,,,,,,,,,,,,,,2,2,,3,,,,,,,,11,36,,,,2,,,,1,1,,,,,1,2,2,2,,,3,,6,,,,5,,1,,,,,1,,1,3,4,1,36
2024,F113110102700,2G02,13,1,東京大学,2,工学系研究科,2,1,都市工学,G311,女,,,,1,,3,,,,,3,,,,,,,,,,,,,,,,,,,,,,1,2,,3,,,,,,,,3,16,,,,1,,,,,,,,,1,1,2,1,,,,,,2,,1,,1,,,,,,,1,,,2,1,2,16
2024,F113110102700,2G02,13,1,東京大学,2,工学系研究科,2,1,機械工学（系）,G101,男,2,,30,3,,4,2,1,,,1,15,1,,,,,,,,,,,,,,,,,,,4,3,1,,7,,,,,1,,,6,81,,,,,,,,1,3,7,7,3,10,7,,15,3,,,1,2,2,,2,,1,,,,,,,1,,4,3,,9,81
2024,F113110102700,2G02,13,1,東京大学,2,工学系研究科,2,1,機械工学（系）,G101,女,1,,2,1,,,1,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,3,1,,1,,,3,,,,,,,,,,,,,,,,,,,,,,1,9
2024,F113110102700,2G02,13,1,東京大学,2,工学系研究科,2,1,航空宇宙工学,H304,男,4,,8,,,1,,,1,,,3,1,,,,,,,,,,,,,,,,,,,,1,,,2,,,,1,1,,,3,26,,,,,,,,,1,1,,1,5,1,1,4,1,1,,2,,,,4,,,,,,,,,,,1,1,,2,26
2024,F113110102700,2G02,13,1,東京大学,2,工学系研究科,2,1,航空宇宙工学,H304,女,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1
2024,F113110102700,2G02,13,1,東京大学,2,工学系研究科,2,1,物理工学,G507,男,3,,2,7,,4,,,,,,5,,,,,,,,,,,,,,,,,,,,2,1,,,1,,,,,,,,6,31,,,,,,,,,1,1,9,,1,,,5,,2,,2,1,,,3,,1,,,,,,,,,1,,,4,31
2024,F113110102700,2G02,13,1,東京大学,2,工学系研究科,2,1,物理工学,G507,女,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,F113110102700,2G02,13,1,東京大学,2,工学系研究科,2,1,マテリアル工学,J9R8,男,2,,,7,4,7,,1,1,1,,7,2,,,,,,,,,,,,,,,,,,,1,,,2,5,,,,1,,,,2,43,,,1,,,,,3,8,1,9,1,,,,5,1,,,1,,,,2,,2,,1,,,,,2,,4,,,2,43
2024,F113110102700,2G02,13,1,東京大学,2,工学系研究科,2,1,マテリアル工学,J9R8,女,2,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,1,4
2024,F113110102700,2G02,13,2,東京大学,2,工学系研究科,2,1,応用化学,G401,男,,,1,3,8,1,1,,1,2,,1,,,,,,,,,1,,,,,,,,,,,1,1,1,,1,,,,,,,,7,30,,,,,,,,6,2,1,3,2,,2,,1,1,2,,3,,1,,,,1,,,,1,,,2,1,,,,1,30
2024,F113110102700,2G02,13,2,東京大学,2,工学系研究科,2,1,応用化学,G401,女,1,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,,,,,,,,,,,,,,1,1,,,,,1,,,,,,,,,,,,,,,,1,,,4
2024,F113110102700,2G02,13,2,東京大学,2,工学系研究科,2,1,化学システム工学,G446,男,1,,1,1,5,,1,,2,,,1,,,,,,,,,,,,,,,,,,,,1,1,1,2,1,,,,,,,,3,21,,,,,,,,4,,,1,,2,3,1,3,,1,,,1,,,,,1,,,,,,,1,,,,,3,21
2024,F113110102700,2G02,13,2,東京大学,2,工学系研究科,2,1,化学システム工学,G446,女,,,,,2,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,7,,,,,,,,1,,,,,,2,,3,,,,1,,,,,,,,,,,,,,,,,,,7
2024,F113110102700,2G02,13,2,東京大学,2,工学系研究科,2,1,化学生命工学,J9B8,男,3,,2,,7,2,,,,,,2,,,,,,,,,,,,,,,,,,,,1,1,,,3,,,,,,,,2,23,,,,,1,1,,4,,,,2,,5,,1,,,,1,,,,1,,1,,1,,,,,1,,1,1,,2,23
2024,F113110102700,2G02,13,2,東京大学,2,工学系研究科,2,1,化学生命工学,J9B8,女,1,,,,3,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,9,,,,,,,,4,,,,,,1,,2,,,,,,,,1,,,,,,,,,,,,,,1,9
2024,F113110102700,2G02,13,2,東京大学,2,工学系研究科,2,1,原子力国際,J9AI,男,1,,2,1,,1,,1,,,,4,1,,,,,,,,,,,,,,,,,,,1,,,1,3,,,,,,,,1,17,,,,,,,,,,,1,3,,2,1,3,,,,3,,,,1,,,,,,,,,,,2,,,1,17
2024,F113110102700,2G02,13,2,東京大学,2,工学系研究科,2,1,原子力国際,J9AI,女,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1
2024,F113110102700,2G02,13,2,東京大学,2,工学系研究科,2,1,バイオエンジニアリング,J9BQ,男,,,1,1,,,,,,1,,2,2,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,2,11,,,,,,,,,,,1,,,2,,3,1,,,,,,,,,,,,,,1,,,,,,,3,11
2024,F113110102700,2G02,13,2,東京大学,2,工学系研究科,2,1,バイオエンジニアリング,J9BQ,女,1,,,1,1,,1,,,,,2,,,,,,,,,,,,,,,,,,1,,,,1,,1,,,,1,,,,,10,,,,,,1,,1,,,1,1,,3,,1,,,,,,,,,,1,,,,,,,,,,1,,,10
2024,F113110102700,2G02,13,2,東京大学,2,工学系研究科,2,1,技術経営戦略学,X996,男,,,,,,,,1,,,1,3,,,,,,,,,,,,,,,,,,,,2,2,,,8,,,,,,,1,4,22,,,,1,,,,,,,1,,,,,1,,1,,6,,,,,,,,,,,,,1,,6,,,5,22
2024,F113110102700,2G02,13,2,東京大学,2,工学系研究科,2,1,技術経営戦略学,X996,女,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,1,6,,,,,,,,,,,,,,,,1,,,,3,,,,,,,,1,,,,,1,,,,,,6
2024,F113110102700,2K15,13,1,東京大学,2,農学生命科学研究科,2,1,生産・環境生物学,L950,男,2,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,3,,4,,,,,1,,,2,14,,,,,1,,,1,,,2,,,,1,,2,,,1,,,,,,,,1,,,,,,,2,1,,2,14
2024,F113110102700,2K15,13,1,東京大学,2,農学生命科学研究科,2,1,生産・環境生物学,L950,女,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,2,8,2,,,,,,,1,,,,,,,,,,1,,1,,,,,,,,1,,,,,,,1,1,,,8
2024,F113110102700,2K15,13,1,東京大学,2,農学生命科学研究科,2,1,応用生命化学,L939,男,1,,,,2,2,,1,1,,,1,,,,,,,,,,,,,,,,,,,,1,,,1,4,,,,1,,,,3,18,,,,,4,,,1,2,,,,,1,1,2,1,1,,,,,,1,,1,,1,,,,,1,,,,,1,18
2024,F113110102700,2K15,13,1,東京大学,2,農学生命科学研究科,2,1,応用生命化学,L939,女,,,,,2,8,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,2,,2,,,,,,,,1,17,,,,,10,,,2,,,,,,1,,1,,,,1,,,,,,,,,,,,,1,,1,,,,17
2024,F113110102700,2K15,13,1,東京大学,2,農学生命科学研究科,2,1,応用生命工学,K216,男,2,,,,,4,1,,1,,,,1,,,,,,,,,,,,,,,,,,,1,,1,,3,,,,,,,,1,15,,,1,,2,,,1,,1,,,,3,,1,1,,,1,,,,,,3,,,,,,,,,1,,,,15
2024,F113110102700,2K15,13,1,東京大学,2,農学生命科学研究科,2,1,応用生命工学,K216,女,1,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,4
2024,F113110102700,2K15,13,1,東京大学,2,農学生命科学研究科,2,1,森林科学,K504,男,,,1,,,,,1,,1,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,,,,,1,,1,,,,1,,,,1,1,,,,,,1,,,,,,,,,,,,,1,,,,7
2024,F113110102700,2K15,13,1,東京大学,2,農学生命科学研究科,2,1,森林科学,K504,女,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2
2024,F113110102700,2K15,13,1,東京大学,2,農学生命科学研究科,2,1,水圏生物科学,K815,男,1,1,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,2,8,1,,,,,,,,,,,,,,,2,,,,2,,,,,,,1,,,,,,1,,,,,1,8
2024,F113110102700,2K15,13,1,東京大学,2,農学生命科学研究科,2,1,水圏生物科学,K815,女,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,3,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,1,,,,3
2024,F113110102700,2K15,13,1,東京大学,2,農学生命科学研究科,2,1,農業（・）資源経済学,K410,男,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,,,,,2,,,5
2024,F113110102700,2K15,13,1,東京大学,2,農学生命科学研究科,2,1,農業（・）資源経済学,K410,女,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,3
2024,F113110102700,2K15,13,1,東京大学,2,農学生命科学研究科,2,1,生物・環境工学,K312,男,,,1,,,,,,,,2,2,2,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,3,12,,,,4,,,,,,,,,,1,2,2,,1,,,,,,,,,,,,,,,,,,,,2,12
2024,F113110102700,2K15,13,1,東京大学,2,農学生命科学研究科,2,1,生物・環境工学,K312,女,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1
2024,F113110102700,2K15,13,1,東京大学,2,農学生命科学研究科,2,1,生物材料科学,L955,男,1,,,,1,2,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,8,,,,3,,,2,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,1,8
2024,F113110102700,2K15,13,1,東京大学,2,農学生命科学研究科,2,1,生物材料科学,L955,女,,,,,1,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,,,,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,1,,,1,6
2024,F113110102700,2K15,13,1,東京大学,2,農学生命科学研究科,2,1,農学国際,K119,男,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,1,,2,,,,,,,,6,11,,,,,,,,1,,,,,,1,,,,1,,1,,,,,,2,,,,,,,1,,1,1,,2,11
2024,F113110102700,2K15,13,1,東京大学,2,農学生命科学研究科,2,1,農学国際,K119,女,,,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,1,,,,1,,2,,,,,,1,8,2,,,,,,,,,,,,,1,,2,,,,,,,,,,1,,,,,,,,,1,,,1,8
2024,F113110102700,2K15,13,1,東京大学,2,農学生命科学研究科,2,1,生圏システム学,L975,男,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,2,4,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,1,,1,4
2024,F113110102700,2K15,13,1,東京大学,2,農学生命科学研究科,2,1,生圏システム学,L975,女,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,2,,,4
2024,F113110102700,2K15,13,2,東京大学,2,農学生命科学研究科,2,1,応用動物（科）学,L926,男,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,4,,,,,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,4
2024,F113110102700,2K15,13,2,東京大学,2,農学生命科学研究科,2,1,応用動物（科）学,L926,女,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,,,,,1,,,1,,,,,,1,,1,,,,,,,,,,,,,,,1,,,,,,,,5
2024,F113110102700,2M02,13,1,東京大学,2,医学系研究科,2,1,健康科学・看護学,O914,男,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,F113110102700,2M02,13,1,東京大学,2,医学系研究科,2,1,健康科学・看護学,O914,女,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,3,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,1,,,3
2024,F113110102700,2M02,13,1,東京大学,2,医学系研究科,2,1,国際保健学,O909,男,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1
2024,F113110102700,2M02,13,1,東京大学,2,医学系研究科,2,1,国際保健学,O909,女,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,2
2024,F113110102700,2M05,13,1,東京大学,2,薬学系研究科,2,1,薬科学,M325,男,3,1,1,,1,5,,,,,,3,,,,,,,,,,,1,,,,,1,,,,2,,1,,4,,,,,,,,6,29,,,,,2,,,1,,,,,,5,,3,,1,,2,1,,,,,1,,,,1,2,,1,,2,,,7,29
2024,F113110102700,2M05,13,1,東京大学,2,薬学系研究科,2,1,薬科学,M325,女,1,,,,,4,,,,1,,2,,,,,,,,,,,,,,,,,,,,2,,1,,1,,,,,,,,4,16,,,,,,,,,,,,1,,8,,1,,,,,,,,,,2,,,,,2,,,,1,,,1,16
2024,F113110102700,2S01,13,1,東京大学,2,教育学研究科,2,1,総合教育科学,S123,男,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,1,,4,,1,,,,,,,,5,13,,,,,,,,,,,,,,,,2,,,,,,,,,,1,,,4,,,,,,2,1,,3,13
2024,F113110102700,2S01,13,1,東京大学,2,教育学研究科,2,1,総合教育科学,S123,女,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,2,,2,,,,,,,,3,10,,,,,1,,,1,,,,,,,,,,,,,,,,,,2,,,1,,1,,,,2,1,,1,10
2024,F113110102700,2S01,13,1,東京大学,2,教育学研究科,2,1,学校教育高度化,S152,男,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,,,,,,1,,,5
2024,F113110102700,2S01,13,1,東京大学,2,教育学研究科,2,1,学校教育高度化,S152,女,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,2
2024,F113110102700,2X26,13,1,東京大学,2,人文社会系研究科,2,1,基礎文化研究,B954,男,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,3,,,,,,,,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,1,2,6
2024,F113110102700,2X26,13,1,東京大学,2,人文社会系研究科,2,1,基礎文化研究,B954,女,1,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,1,8,,,,,,,,,,,,,,,,3,1,,,1,1,,,,,,,,,,,,,,,,,2,8
2024,F113110102700,2X26,13,1,東京大学,2,人文社会系研究科,2,1,アジア文化研究,B955,男,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1
2024,F113110102700,2X26,13,1,東京大学,2,人文社会系研究科,2,1,アジア文化研究,B955,女,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,2,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,2
2024,F113110102700,2X26,13,1,東京大学,2,人文社会系研究科,2,1,日本文化（学）（研究）,B920,男,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2,,,,,,,,1,4,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,1,,,,,1,,,,4
2024,F113110102700,2X26,13,1,東京大学,2,人文社会系研究科,2,1,日本文化（学）（研究）,B920,女,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,2
2024,F113110102700,2X26,13,1,東京大学,2,人文社会系研究科,2,1,欧米系文化研究,B956,男,,,,,,,,,,,,2,,,,,1,,,,,,,,,,,,,,,1,,4,,1,,,,,,,,1,10,,,,,,,,,1,,,,,,,3,,,,,,,,,,,,1,1,,,1,1,,1,1,,,10
2024,F113110102700,2X26,13,1,東京大学,2,人文社会系研究科,2,1,欧米系文化研究,B956,女,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,3,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,3
2024,F113110102700,2X26,13,1,東京大学,2,人文社会系研究科,2,1,社会文化研究,C319,男,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,1,3,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,2,,,,3
2024,F113110102700,2X26,13,1,東京大学,2,人文社会系研究科,2,1,社会文化研究,C319,女,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1
2024,F113110102700,2X26,13,1,東京大学,2,人文社会系研究科,2,1,文化資源学研究,B990,男,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,2
2024,F113110102700,2X26,13,1,東京大学,2,人文社会系研究科,2,1,文化資源学研究,B990,女,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1
2024,F113110102700,2X26,13,1,東京大学,2,人文社会系研究科,2,1,韓国調整文化研究,B9A1,男,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,F113110102700,2X26,13,1,東京大学,2,人文社会系研究科,2,1,韓国調整文化研究,B9A1,女,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1
2024,F113110102700,2X34,13,1,東京大学,2,総合文化研究科,2,1,言語情報科学,B950,男,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,,1,4,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,1,,,,,,,,,1,4
2024,F113110102700,2X34,13,1,東京大学,2,総合文化研究科,2,1,言語情報科学,B950,女,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,2
2024,F113110102700,2X34,13,1,東京大学,2,総合文化研究科,2,1,超域文化科学,B957,男,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,2
2024,F113110102700,2X34,13,1,東京大学,2,総合文化研究科,2,1,超域文化科学,B957,女,,,,,,,,,,,,,2,,,,1,,,,,,,,,,,,,,1,,,1,,1,,,,,,,,1,7,,,,,,,,,,,,,,,,3,1,,,,,,,,,1,,,1,,,,,,,,,1,7
2024,F113110102700,2X34,13,1,東京大学,2,総合文化研究科,2,1,地域文化研究,X302,男,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,2,7,,,,,,,,,1,,1,,,,,1,,,,,,,,,,,,,,,,,1,,2,1,,,7
2024,F113110102700,2X34,13,1,東京大学,2,総合文化研究科,2,1,地域文化研究,X302,女,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,4,7,,,,,,,,,,,1,,,,,2,,,,,,,,,,,,,1,,,,,,,,,3,7
2024,F113110102700,2X34,13,1,東京大学,2,総合文化研究科,2,1,国際社会科学,D924,男,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,1,4,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,2,,1,4
2024,F113110102700,2X34,13,1,東京大学,2,総合文化研究科,2,1,国際社会科学,D924,女,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,2,,,,,,,,3,6,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,1,,,,,,,,3,6
2024,F113110102700,2X34,13,1,東京大学,2,総合文化研究科,2,1,広域科学,X105,男,4,,1,2,2,1,,,,1,,16,1,,,1,,,,,,,,,,,,,,,,4,,5,,8,,,,,,,,7,53,,,,,1,,,,,,5,3,,2,1,16,,,,5,,1,,4,,1,,1,2,,2,,1,,6,1,,1,53
2024,F113110102700,2X34,13,1,東京大学,2,総合文化研究科,2,1,広域科学,X105,女,3,,,,,1,,,,,,4,1,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,7,18,,,,,1,,,1,,,,1,,,,8,,,,3,1,,,1,,,,,,,,,1,,,,,1,18
2024,F113110102700,2X63,12,1,東京大学,2,新領域創成科学研究科,2,1,物質系,J9D5,男,1,,2,2,4,6,1,1,,2,,5,1,,,,,,,,,,,,,,,,,,,,,,1,3,,,,,,,,1,30,,,,,,,,3,1,2,11,1,,,,5,,1,,1,,,,1,,3,,,,,,,,,,,,1,30
2024,F113110102700,2X63,12,1,東京大学,2,新領域創成科学研究科,2,1,物質系,J9D5,女,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2024,F113110102700,2X63,12,1,東京大学,2,新領域創成科学研究科,2,1,先端エネルギー工学,J9J9,男,,,5,2,,1,2,3,,,1,4,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,1,21,,,,1,,,,,,,2,3,3,3,1,4,,,,,,,,1,,1,,,,,,,1,,,,,1,21
2024,F113110102700,2X63,12,1,東京大学,2,新領域創成科学研究科,2,1,先端エネルギー工学,J9J9,女,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,2
2024,F113110102700,2X63,12,1,東京大学,2,新領域創成科学研究科,2,1,複雑理工学,X128,男,1,,1,,,1,,,,,,10,,,,,,,,,,,,,,,,,,,,1,2,,,2,,,,,,,,1,19,,,,,,,,,,,1,3,,1,,9,,,,1,,,,,,,,,,,,,,,2,1,,1,19
2024,F113110102700,2X63,12,1,東京大学,2,新領域創成科学研究科,2,1,複雑理工学,X128,女,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,2
2024,F113110102700,2X63,12,1,東京大学,2,新領域創成科学研究科,2,1,先端生命科学,X145,男,2,,,,5,1,,,2,,,5,,,,,,,,,,,,,,,,1,,,,1,,,1,2,,,,,,,,1,21,,,,,3,1,,7,,,,,,,,6,,,,1,,,,,,,,,,,1,,,,1,,,1,21
2024,F113110102700,2X63,12,1,東京大学,2,新領域創成科学研究科,2,1,先端生命科学,X145,女,1,,,,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,,,,,8,,,,,,,,1,,,,,,,1,1,,1,,,,,,1,,2,,1,,,,,,,,,,,8
