Australia,,24208 ,,,S2   28776,29866 ,35029 ,36730 ,40012 ,,43176 ,,52157 ,,56873 ,,61041 ,,62865 ,,66001 ,,73173 ,,81192 ,,87201 ,,92649 ,,,,,,,,,,,,,,,
Austria,,D   6712,,,,D   7609,,,,D   8782,,,,D   12821,,,,,D   18715,,,,D   24124,,D   25955,DE   28470,D   29199,D   31676,DE   34508,D   34664,DE   36581,D   37114,DE   39701,D   40426,DE   42627,D   43562,DE   46993,D   47521,DE   50139,D   52794,DE   51892,D   56533,E   59646,DP   63702
Belgium,,DE   12747,D   13410,DE   13431,D   13906,DE   14759,D   15705,D   16045,D   16646,BD   17620,,DE   18105,,BD   20979,D   22563,D   23309,D   25130,D   26263,D   27592,D   29732,D   30540,D   32237,D   30668,D   30917,D   32400,D   33146,D   34879,D   36318,D   36774,D   38225,D   40832,D   42686,D   45597,D   46355,D   50820,BD   53178,DE   54280,D   54010,D   57456,D   60619,D   62448,BD   76233,E   80383,P   83274
Canada,,40420 ,44200 ,45690 ,48820 ,52520 ,57320 ,59350 ,62360 ,63860 ,65730 ,67730 ,72070 ,75490 ,85900 ,87380 ,90490 ,93180 ,95214 ,98648 ,107900 ,114510 ,115960 ,123230 ,130380 ,136700 ,140660 ,151330 ,157200 ,150220 ,158660 ,165100 ,161600 ,163180 ,B   161922,162710 ,159000 ,161990 ,174690 ,182140 ,196010 ,211080 ,217000 ,
Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,D   5551,D   5959,DM2   4859,DM2   5440,D   6078,D   6798,D   5893,D   7585,D   8175,D   8985,D   9099,DE   9804,DE   9671,DE   9962,BD   12400,D   14493,
Costa Rica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3160 ,2905 ,3089 ,2241 ,2070 ,,1867 ,2053 ,,
United States,,,,,,,,,,,,E   769449,E   792028,E   805218,E   796741,E   818075,E   864349,E   901137,E   954105,E   984247,E   996122,E   1017951,E   1041534,E   1111087,E   1080885,E   1069649,E   1091944,E   1088186,E   1138272,E   1188650,E   1127895,E   1173770,E   1178702,E   1215598,E   1259085,E   1282172,E   1276790,E   1329747,E   1442408,E   1469294,E   1549132,E   1664939,BDEM2   1681676,
European Union (27 countries from 01/02/2020),,,,,,,,,,,,,,E   815691,,E   829904,E   850947,E   859825,E   883541,E   918524,E   957537,E   985149,E   1013244,E   1037146,E   1077577,E   1124796,E   1166935,E   1203904,E   1269944,E   1296277,E   1340864,E   1373481,E   1429599,E   1473253,E   1506686,E   1571077,E   1616466,E   1709560,E   1785534,E   1853798,E   1887380,E   1975709,E   2077979,E   2135151
OECD,,,,,,,,,,,,E   2471470,E   2540422,E   2590973,E   2650967,BE   2740955,E   2887428,E   2961020,E   3082606,E   3198805,E   3281685,E   3402298,E   3470020,E   3654056,E   3707257,E   3846939,E   3955975,E   4036076,E   4150377,E   4250488,E   4271164,E   4402366,E   4501114,E   4637738,E   4788997,E   4890898,E   4969574,E   5183216,E   5459727,E   5628974,E   5794888,E   6148311,E   6327470,
Non-OECD economies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
·  Argentina,,,,,,,,,,,,,,,,,,24804 ,25419 ,26004 ,26420 ,25656 ,26083 ,27367 ,29471 ,31868 ,35040 ,38681 ,41523 ,BP   42155,P   46199,P   49029,50490 ,50785 ,51665 ,53006 ,54805 ,53184 ,54307 ,54904 ,56417 ,58311 ,59029 ,P   59676
·  Bulgaria,,,,,,,,,,,,,,27292 ,12608 ,13990 ,14751 ,11980 ,11972 ,10580 ,9479 ,9217 ,9223 ,9589 ,9827 ,10053 ,10336 ,11203 ,11384 ,11968 ,10979 ,11902 ,11300 ,12275 ,13201 ,14236 ,16001 ,15094 ,16521 ,16940 ,16691 ,16230 ,17487 ,16356 
·  China (People’s Republic of),,,,,,,,,,,,DM2   471400,DM2   471900,DM2   489200,DM2   552000,DM2   522000,DM2   548000,DM2   588700,DM2   485500,DM2   531100,BD   695062,D   742726,D   810525,D   862108,D   926252,D   1118698,D   1223756,D   1423381,D   1592420,B   1152311,1210841 ,1318086 ,1404017 ,1484040 ,1524280 ,1619028 ,1692176 ,1740442 ,1866109 ,2109460 ,2281134 ,2405509 ,2637193 ,3001302 
·  Croatia,,,,,,,,,,,,,,,,,,,,,,,8572 ,5861 ,7140 ,5727 ,5778 ,6129 ,6697 ,6931 ,7104 ,6847 ,6688 ,6529 ,6117 ,6367 ,7788 ,7815 ,7985 ,8820 ,9113 ,9508 ,9913 ,P   9795
·  Romania,,,,,,,,,,,,,,38612 ,33751 ,32780 ,30303 ,28431 ,27494 ,23473 ,20476 ,19726 ,20286 ,20965 ,21257 ,22958 ,19021 ,18808 ,19394 ,19271 ,19780 ,B   16080,18016 ,18576 ,18109 ,17459 ,18046 ,17518 ,17213 ,17350 ,18331 ,19113 ,19140 ,P   20743
·  Russia,,,,,,,,,,,,,,,621790 ,610357 ,562070 ,532469 ,492494 ,497030 ,506420 ,505778 ,491944 ,487477 ,477647 ,464577 ,464357 ,469076 ,451213 ,442263 ,442071 ,447579 ,443269 ,440581 ,444865 ,449180 ,428884 ,410617 ,405772 ,400663 ,397187 ,,,
·  Singapore,,,,,,,,,,,,,,5879 ,6519 ,7695 ,9108 ,9704 ,11396 ,12598 ,16633 ,16741 ,18120 ,20024 ,21359 ,23789 ,25033 ,27301 ,27840 ,30527 ,32028 ,33714 ,34132 ,36012 ,36647 ,39182 ,39207 ,38898 ,39293 ,42485 ,42632 ,44226 ,48599 ,
·  South Africa,,,,M2   7939,,M2   9946,,M2   11469,,M2   9919,,M2   12102,,M2   10957,,,,M2   8533,,,,14182 ,,14131 ,17915 ,17303 ,18573 ,19320 ,19384 ,19793 ,18720 ,20115 ,21382 ,23346 ,23572 ,26159 ,27656 ,29515 ,29111 ,28358 ,27636 ,27763 ,27520 ,
·  Chinese Taipei,,,,,,,,,,,,,,,,,DM2   45778,DM2   47573,DM2   53492,DM2   54844,DM2   55460,DM2   59656,B   69887,B   75111,81209 ,88859 ,95176 ,103786 ,110063 ,119320 ,128135 ,134503 ,139763 ,140781 ,142458 ,144836 ,147141 ,149886 ,153998 ,159160 ,163536 ,167766 ,171618 ,175832 
B: Time Series Break,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D: Definition Differs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E: Estimated Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2: Underestimated or based on Underestimated data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P: Provisional Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
