大学名称,No.,地区名,国公私立,大学グループ（分数カウントに基づくもの）,国際卓越（採択：◎、申請：○）,地域中核,論文数（５年合計値）2007-2011,論文数（５年合計値）2012-2017,論文数（５年合計値）2017-2021,化学論文数（５年合計値）2007-2011,化学論文数（５年合計値）2012-2017,化学論文数（５年合計値）2017-2021,材料科学論文数（５年合計値）2007-2011,材料科学論文数（５年合計値）2012-2017,材料科学論文数（５年合計値）2017-2021,物理学論文数（５年合計値）2007-2011,物理学論文数（５年合計値）2012-2017,物理学論文数（５年合計値）2017-2021,計算機・数学論文数（５年合計値）2007-2011,計算機・数学論文数（５年合計値）2012-2017,計算機・数学論文数（５年合計値）2017-2021,工学論文数（５年合計値）2007-2011,工学論文数（５年合計値）2012-2017,工学論文数（５年合計値）2017-2021,環境・地球科学論文数（５年合計値）2007-2011,環境・地球科学論文数（５年合計値）2012-2017,環境・地球科学論文数（５年合計値）2017-2021,臨床医学論文数（５年合計値）2007-2011,臨床医学論文数（５年合計値）2012-2017,臨床医学論文数（５年合計値）2017-2021,基礎生命科学論文数（５年合計値)2007-2011,基礎生命科学論文数（５年合計値）2012-2017,基礎生命科学論文数（５年合計値）2017-2021,Top10%補正論文数（５年合計値）2007-2011,Top10%補正論文数（５年合計値）2012-2017,Top10%補正論文数（５年合計値）2017-2021,化学Top10%補正論文数（５年合計値）2007-2011,化学Top10%補正論文数（５年合計値）2012-2017,化学Top10%補正論文数（５年合計値）2017-2021,材料科学Top10%補正論文数（５年合計値）2007-2011,材料科学Top10%補正論文数（５年合計値）2012-2017,材料科学Top10%補正論文数（５年合計値）2017-2021,物理学Top10%補正論文数（５年合計値）2007-2011,物理学Top10%補正論文数（５年合計値）2012-2017,物理学Top10%補正論文数（５年合計値）2017-2021,計算機・数学Top10%補正論文数（５年合計値）2007-2011,計算機・数学Top10%補正論文数（５年合計値）2012-2017,計算機・数学Top10%補正論文数（５年合計値）2017-2021,工学Top10%補正論文数（５年合計値）2007-2011,工学Top10%補正論文数（５年合計値）2012-2017,工学Top10%補正論文数（５年合計値）2017-2021,環境・地球科学Top10%補正論文数（５年合計値）2007-2011,環境・地球科学Top10%補正論文数（５年合計値）2012-2017,環境・地球科学Top10%補正論文数（５年合計値）2017-2021,臨床医学Top10%補正論文数（５年合計値）2007-2011,臨床医学Top10%補正論文数（５年合計値）2012-2017,臨床医学Top10%補正論文数（５年合計値）2017-2021,基礎生命科学Top10%補正論文数（５年合計値)2007-2011,基礎生命科学Top10%補正論文数（５年合計値）2012-2017,基礎生命科学Top10%補正論文数（５年合計値）2017-2021,リードしている論文数（５年合計値）2007-2011,リードしている論文数（５年合計値）2012-2017,リードしている論文数（５年合計値）2017-2021,リードしている化学論文数（５年合計値）2007-2011,リードしている化学論文数（５年合計値）2012-2017,リードしている化学論文数（５年合計値）2017-2021,リードしている材料科学論文数（５年合計値）2007-2011,リードしている材料科学論文数（５年合計値）2012-2017,リードしている材料科学論文数（５年合計値）2017-2021,リードしている物理学論文数（５年合計値）2007-2011,リードしている物理学論文数（５年合計値）2012-2017,リードしている物理学論文数（５年合計値）2017-2021,リードしている計算機・数学論文数（５年合計値）2007-2011,リードしている計算機・数学論文数（５年合計値）2012-2017,リードしている計算機・数学論文数（５年合計値）2017-2021,リードしている工学論文数（５年合計値）2007-2011,リードしている工学論文数（５年合計値）2012-2017,リードしている工学論文数（５年合計値）2017-2021,リードしている環境・地球科学論文数（５年合計値）2007-2011,リードしている環境・地球科学論文数（５年合計値）2012-2017,リードしている環境・地球科学論文数（５年合計値）2017-2021,リードしている臨床医学論文数（５年合計値）2007-2011,リードしている臨床医学論文数（５年合計値）2012-2017,リードしている臨床医学論文数（５年合計値）2017-2021,リードしている基礎生命科学論文数（５年合計値)2007-2011,リードしている基礎生命科学論文数（５年合計値）2012-2017,リードしている基礎生命科学論文数（５年合計値）2017-2021,医学・基礎生命科学系論文割合（５年合計値）2017-2021,医学・基礎生命科学を除いた論文数（５年合計値）2017-2021,日本全体の論文数に占める割合（５年合計値）2017-2021,Top10%補正論文割合（５年合計値）2007-2011,Top10%補正論文割合（５年合計値）2012-2017,Top10%補正論文割合（５年合計値）2017-2021,化学Top10%補正論文割合（５年合計値）2007-2011,化学Top10%補正論文割合（５年合計値）2012-2017,化学Top10%補正論文割合（５年合計値）2017-2021,材料科学Top10%補正論文割合（５年合計値）2007-2011,材料科学Top10%補正論文割合（５年合計値）2012-2017,材料科学Top10%補正論文割合（５年合計値）2017-2021,物理学Top10%補正論文割合（５年合計値）2007-2011,物理学Top10%補正論文割合（５年合計値）2012-2017,物理学Top10%補正論文割合（５年合計値）2017-2021,計算機・数学Top10%補正論文割合（５年合計値）2007-2011,計算機・数学Top10%補正論文割合（５年合計値）2012-2017,計算機・数学Top10%補正論文割合（５年合計値）2017-2021,工学Top10%補正論文割合（５年合計値）2007-2011,工学Top10%補正論文割合（５年合計値）2012-2017,工学Top10%補正論文割合（５年合計値）2017-2021,環境・地球科学Top10%補正論文割合（５年合計値）2007-2011,環境・地球科学Top10%補正論文（５年合計値）2012-2017,環境・地球科学Top10%補正論文割合（５年合計値）2017-2021,臨床医学Top10%補正論文割合（５年合計値）2007-2011,臨床医学Top10%補正論文（５年合計値）2012-2017,臨床医学Top10%補正論文割合（５年合計値）2017-2021,基礎生命科学Top10%補正論文割合（５年合計値)2007-2011,基礎生命科学Top10%補正論文割合（５年合計値）2012-2017,基礎生命科学Top10%補正論文割合（５年合計値）2017-2021
奈良女子大学,51,東海・北陸・近畿地区,01_国立大学,4G,,,875,717,981,187,126,151,24,22,22,298,245,482,53,36,25,4,4,17,31,27,50,40,48,58,229,205,164,91,57,70,15,3,1,0,0,0,45,38,57,4,3,0,1,0,1,2,1,3,8,2,6,14,8,2,370,337,245,103,90,89,9,13,4,67,54,37,29,24,8,1,0,4,13,15,16,14,30,11,134,109,74,0.226299694,747,0.001640594,0.104,0.079497908,0.071355759,0.080213904,0.023809524,0.006622517,0,0,0,0.151006711,0.155102041,0.118257261,0.075471698,0.083333333,0,0.25,0,0.058823529,0.064516129,0.037037037,0.06,0.2,0.041666667,0.103448276,0.061135371,0.03902439,0.012195122
奈良先端科学技術大学院大学,52,東海・北陸・近畿地区,01_国立大学,4G,,○,1777,1753,2471,390,456,467,98,93,312,253,222,378,122,141,221,118,104,242,1,3,10,41,37,86,752,697,755,233,192,230,46,42,42,6,8,5,7,8,13,5,5,13,10,6,6,0,0,1,10,4,12,149,119,137,965,843,1181,220,227,202,62,54,175,160,134,225,70,86,109,71,60,141,0,2,6,8,7,31,373,273,293,0.340348037,1630,0.004132425,0.131119865,0.109526526,0.093079725,0.117948718,0.092105263,0.08993576,0.06122449,0.086021505,0.016025641,0.027667984,0.036036036,0.034391534,0.040983607,0.035460993,0.058823529,0.084745763,0.057692308,0.024793388,0,0,0.1,0.243902439,0.108108108,0.139534884,0.198138298,0.170731707,0.181456954
新潟大学,53,関東・甲信越地区,01_国立大学,3G,,○,3949,4493,5120,266,363,402,75,80,114,768,622,467,172,225,157,150,179,202,121,191,221,1211,1348,1949,1164,1450,1579,263,351,442,7,19,24,3,1,1,94,60,53,2,11,3,6,7,3,4,10,16,85,121,212,61,117,127,2122,2155,2137,184,221,204,45,44,68,273,224,119,124,147,91,111,129,127,43,61,58,722,690,854,607,624,608,0.6890625,1563,0.008562532,0.066599139,0.078121522,0.086328125,0.026315789,0.052341598,0.059701493,0.04,0.0125,0.00877193,0.122395833,0.096463023,0.113490364,0.011627907,0.048888889,0.01910828,0.04,0.039106145,0.014851485,0.033057851,0.052356021,0.07239819,0.070189926,0.089762611,0.10877373,0.052405498,0.080689655,0.080430652
浜松医科大学,54,東海・北陸・近畿地区,01_国立大学,4G,,,1346,1661,2501,62,57,73,5,4,4,24,23,18,2,4,7,2,0,7,4,3,15,663,860,1267,561,679,1081,121,111,161,6,5,6,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,77,68,119,35,38,33,693,733,865,36,18,30,4,1,0,18,11,11,1,1,2,1,0,4,1,2,3,358,401,527,267,288,281,0.93882447,124,0.004182596,0.089895988,0.066827213,0.06437425,0.096774194,0.087719298,0.082191781,0.2,0,0.25,0,0.043478261,0,0,0,0,0,0,0,0,0,0,0.116138763,0.079069767,0.093922652,0.062388592,0.055964654,0.03052729
弘前大学,55,北海道・東北地区,01_国立大学,4G,,○,1806,2129,2694,193,256,317,63,62,128,158,126,174,67,95,57,41,65,121,39,91,201,576,719,939,664,699,738,92,134,209,4,8,18,3,7,15,3,8,33,3,3,2,0,11,20,0,5,10,35,48,71,43,41,39,1046,1116,1309,128,141,178,39,44,79,76,59,68,32,44,19,23,37,74,19,27,65,363,391,463,363,368,357,0.622494432,998,0.004505363,0.050941307,0.062940348,0.077579807,0.020725389,0.03125,0.056782334,0.047619048,0.112903226,0.1171875,0.018987342,0.063492063,0.189655172,0.044776119,0.031578947,0.035087719,0,0.169230769,0.165289256,0,0.054945055,0.049751244,0.060763889,0.066759388,0.075612354,0.064759036,0.058655222,0.052845528
広島大学,56,中国・四国地区,01_国立大学,2G,,○,7832,8579,10989,1101,1118,1343,327,314,444,1643,1551,1557,335,385,412,378,466,749,417,458,685,1537,1909,2790,2052,2295,2910,717,798,872,84,75,30,34,25,23,277,285,216,14,17,23,14,22,52,30,40,54,141,173,290,117,151,176,4330,4434,5273,785,722,793,226,166,243,611,481,420,210,231,229,238,299,468,191,234,319,925,1068,1319,1123,1199,1444,0.518700519,5190,0.018377668,0.091547497,0.093017834,0.079352079,0.076294278,0.067084079,0.022338049,0.103975535,0.079617834,0.051801802,0.168594035,0.183752418,0.138728324,0.041791045,0.044155844,0.055825243,0.037037037,0.0472103,0.069425901,0.071942446,0.087336245,0.078832117,0.09173715,0.090623363,0.103942652,0.057017544,0.065795207,0.0604811
福井大学,57,東海・北陸・近畿地区,01_国立大学,4G,,,1601,1838,2011,281,270,249,98,139,136,189,188,172,55,50,44,156,194,207,6,20,13,396,478,692,414,488,488,95,90,87,14,8,1,4,5,1,15,12,8,8,1,0,9,8,6,2,0,1,19,25,44,23,30,26,894,918,938,204,188,184,62,59,67,69,81,77,39,34,17,77,105,93,3,8,2,239,242,323,199,194,174,0.58677275,821,0.003363135,0.059337914,0.048966268,0.043262059,0.049822064,0.02962963,0.004016064,0.040816327,0.035971223,0.007352941,0.079365079,0.063829787,0.046511628,0.145454545,0.02,0,0.057692308,0.041237113,0.028985507,0.333333333,0,0.076923077,0.047979798,0.052301255,0.063583815,0.055555556,0.06147541,0.053278689
福島大学,58,北海道・東北地区,01_国立大学,4G,,,141,235,516,19,31,92,2,7,6,7,21,71,7,16,5,28,16,26,41,63,123,9,18,26,28,61,163,5,24,28,0,0,0,0,0,0,0,7,14,1,1,0,2,1,4,1,11,5,0,1,0,1,3,6,63,92,173,15,20,50,1,1,3,6,9,27,5,11,3,16,2,12,9,22,30,0,5,5,11,23,41,0.36627907,323,0.000862943,0.035460993,0.10212766,0.054263566,0,0,0,0,0,0,0,0.333333333,0.197183099,0.142857143,0.0625,0,0.071428571,0.0625,0.153846154,0.024390244,0.174603175,0.040650407,0,0.055555556,0,0.035714286,0.049180328,0.036809816
北陸先端科学技術大学院大学,59,東海・北陸・近畿地区,01_国立大学,4G,,,1128,1127,1426,380,348,442,123,146,206,271,214,191,155,189,212,96,123,207,4,3,16,8,11,21,87,89,118,77,61,72,35,25,31,11,4,5,18,21,6,6,3,11,3,2,6,1,0,0,0,1,1,2,4,9,675,657,748,217,211,232,80,85,107,160,131,108,96,113,119,60,72,111,2,1,7,4,3,5,54,40,52,0.097475456,1274,0.002384799,0.068262411,0.054125998,0.050490884,0.092105263,0.07183908,0.070135747,0.089430894,0.02739726,0.024271845,0.066420664,0.098130841,0.031413613,0.038709677,0.015873016,0.051886792,0.03125,0.016260163,0.028985507,0.25,0,0,0,0.090909091,0.047619048,0.022988506,0.04494382,0.076271186
北海道大学,60,北海道・東北地区,01_国立大学,2G,,○,14349,15609,18540,2072,2436,2721,899,934,1269,1680,1591,1576,455,349,442,607,693,963,1433,1843,2308,2006,2398,3322,5160,5292,5782,1181,1400,1619,231,295,287,69,89,96,107,142,150,27,14,17,41,53,54,115,164,239,206,237,342,382,394,424,8357,8576,9067,1412,1534,1445,570,549,639,971,815,758,276,218,241,373,404,535,697,857,988,1132,1291,1502,2908,2874,2907,0.491046386,9279,0.03100573,0.082305387,0.089691844,0.087324703,0.111486486,0.121100164,0.105475928,0.076751947,0.095289079,0.075650118,0.063690476,0.089252043,0.095177665,0.059340659,0.040114613,0.038461538,0.067545305,0.076479076,0.056074766,0.080251221,0.08898535,0.10355286,0.102691924,0.09883236,0.10295003,0.074031008,0.074452003,0.073331027
三重大学,61,東海・北陸・近畿地区,01_国立大学,3G,,,2400,2448,2916,220,220,256,104,78,72,165,190,172,44,33,26,90,88,124,70,72,102,867,983,1242,817,766,905,148,193,217,12,16,8,10,5,1,10,14,17,2,2,0,8,9,10,3,4,6,63,83,121,39,59,53,1445,1356,1482,161,159,184,80,41,36,109,130,93,30,20,17,68,46,61,31,33,41,585,558,601,371,365,443,0.736282579,752,0.004876629,0.061666667,0.078839869,0.07441701,0.054545455,0.072727273,0.03125,0.096153846,0.064102564,0.013888889,0.060606061,0.073684211,0.098837209,0.045454545,0.060606061,0,0.088888889,0.102272727,0.080645161,0.042857143,0.055555556,0.058823529,0.07266436,0.084435402,0.09742351,0.047735618,0.077023499,0.058563536
宮崎大学,62,九州・沖縄地区,01_国立大学,4G,,,1684,1790,2330,117,137,147,56,45,54,193,178,271,26,18,31,45,35,82,29,51,79,379,425,568,832,898,1092,94,122,127,4,6,6,0,2,8,22,23,24,0,1,0,5,2,4,1,1,3,23,25,38,38,61,44,907,872,1008,80,83,81,39,19,19,50,56,46,15,5,20,27,17,41,8,23,31,222,226,246,466,442,522,0.712446352,664,0.003896621,0.055819477,0.068156425,0.054506438,0.034188034,0.04379562,0.040816327,0,0.044444444,0.148148148,0.113989637,0.129213483,0.088560886,0,0.055555556,0,0.111111111,0.057142857,0.048780488,0.034482759,0.019607843,0.037974684,0.060686016,0.058823529,0.066901408,0.045673077,0.067928731,0.04029304
室蘭工業大学,63,北海道・東北地区,01_国立大学,4G,,,481,567,733,84,136,122,79,70,124,163,124,125,39,72,156,74,92,133,10,17,23,6,6,12,25,49,38,15,33,62,3,3,0,1,2,0,5,5,6,3,13,40,2,7,11,1,0,2,0,0,1,0,2,1,273,288,426,64,82,75,54,30,60,80,67,70,19,26,100,35,48,81,5,10,15,2,1,2,14,25,24,0.068212824,683,0.001225847,0.031185031,0.058201058,0.084583902,0.035714286,0.022058824,0,0.012658228,0.028571429,0,0.030674847,0.040322581,0.048,0.076923077,0.180555556,0.256410256,0.027027027,0.076086957,0.082706767,0.1,0,0.086956522,0,0,0.083333333,0,0.040816327,0.026315789
山形大学,64,北海道・東北地区,01_国立大学,3G,,○,2493,2989,3345,530,600,746,144,233,309,412,483,449,141,106,70,123,130,123,55,95,163,479,653,724,603,674,744,175,242,212,28,34,35,25,35,19,39,57,35,4,1,0,6,2,8,6,4,10,35,54,76,30,54,28,1361,1417,1470,310,355,409,76,131,169,211,167,128,97,65,44,86,77,77,15,31,55,278,294,248,287,289,332,0.438863976,1860,0.005594076,0.07019655,0.080963533,0.063378176,0.052830189,0.056666667,0.04691689,0.173611111,0.150214592,0.061488673,0.094660194,0.118012422,0.077951002,0.028368794,0.009433962,0,0.048780488,0.015384615,0.06504065,0.109090909,0.042105263,0.061349693,0.073068894,0.082695253,0.104972376,0.049751244,0.080118694,0.037634409
山口大学,65,中国・四国地区,01_国立大学,3G,,,2670,2974,3213,306,312,381,107,93,112,197,166,192,107,131,111,132,175,174,76,151,177,791,839,934,940,1095,1125,153,194,208,14,18,26,6,2,7,7,9,7,5,9,3,9,10,11,3,8,11,67,75,76,40,62,66,1589,1590,1502,217,216,208,57,51,56,97,92,80,69,75,65,85,104,406,33,64,78,468,448,393,552,538,516,0.640834111,1147,0.005373323,0.057303371,0.065232011,0.064737006,0.045751634,0.057692308,0.06824147,0.056074766,0.021505376,0.0625,0.035532995,0.054216867,0.036458333,0.046728972,0.06870229,0.027027027,0.068181818,0.057142857,0.063218391,0.039473684,0.052980132,0.062146893,0.084702908,0.089392133,0.08137045,0.042553191,0.056621005,0.058666667
山梨大学,66,関東・甲信越地区,01_国立大学,4G,,○,1872,2086,2593,293,327,282,99,103,159,234,238,207,30,44,94,66,78,80,85,90,159,539,603,883,510,582,689,155,160,168,39,16,14,5,4,5,11,17,7,3,5,1,0,5,1,6,5,18,59,57,74,26,49,44,1102,1092,1352,207,224,1197,75,74,110,137,106,112,17,28,64,48,56,45,48,44,67,276,293,440,288,254,310,0.60624759,981,0.004336454,0.082799145,0.076701822,0.064789819,0.133105802,0.048929664,0.04964539,0.050505051,0.038834951,0.031446541,0.047008547,0.071428571,0.033816425,0.1,0.113636364,0.010638298,0,0.064102564,0.0125,0.070588235,0.055555556,0.113207547,0.109461967,0.094527363,0.08380521,0.050980392,0.08419244,0.063860668
横浜国立大学,67,関東・甲信越地区,01_国立大学,4G,,,1983,1863,2510,513,452,534,251,211,293,395,350,516,141,129,179,288,299,468,163,202,275,20,31,31,188,182,203,139,116,143,51,42,25,10,9,8,34,17,52,9,5,4,16,12,18,10,20,21,2,2,2,4,8,12,1204,1080,1331,342,300,328,157,129,171,236,222,263,91,86,84,180,182,275,85,88,110,4,3,5,95,66,93,0.093227092,2265,0.004197647,0.070095814,0.062265164,0.056972112,0.099415205,0.092920354,0.046816479,0.039840637,0.042654028,0.027303754,0.086075949,0.048571429,0.100775194,0.063829787,0.03875969,0.022346369,0.055555556,0.040133779,0.038461538,0.061349693,0.099009901,0.076363636,0.1,0.064516129,0.064516129,0.021276596,0.043956044,0.0591133
琉球大学,68,九州・沖縄地区,01_国立大学,4G,,,2160,2353,2816,80,98,150,18,25,44,141,159,152,80,43,74,155,90,142,188,282,388,460,522,692,1017,1109,1156,122,122,164,1,1,2,2,0,2,8,9,15,1,1,2,14,9,10,11,14,24,28,41,55,54,44,53,1176,1005,1174,47,47,70,10,9,20,89,81,75,65,22,53,119,62,83,92,115,151,233,207,254,514,455,467,0.65625,950,0.004709392,0.056481481,0.051848704,0.058238636,0.0125,0.010204082,0.013333333,0.111111111,0,0.045454545,0.056737589,0.056603774,0.098684211,0.0125,0.023255814,0.027027027,0.090322581,0.1,0.070422535,0.058510638,0.04964539,0.06185567,0.060869565,0.078544061,0.079479769,0.053097345,0.039675383,0.045847751
和歌山大学,69,東海・北陸・近畿地区,01_国立大学,4G,,,234,266,272,85,63,64,12,15,7,58,71,72,27,39,37,21,30,36,8,8,19,7,4,4,16,32,33,17,4,6,5,0,0,0,0,0,7,2,3,0,0,0,4,0,0,1,0,2,0,0,0,0,1,1,131,168,158,65,53,52,5,10,3,24,46,52,13,24,17,16,22,21,4,1,7,0,2,0,4,10,7,0.136029412,235,0.000454884,0.072649573,0.015037594,0.022058824,0.058823529,0,0,0,0,0,0.120689655,0.028169014,0.041666667,0,0,0,0.19047619,0,0,0.125,0,0.105263158,0,0,0,0,0.03125,0.03030303
会津大学,70,北海道・東北地区,02_公立大学,4G,,,337,466,590,0,2,14,0,2,6,175,146,137,86,191,232,39,82,160,21,19,20,10,10,7,6,13,11,49,51,53,0,0,1,0,0,0,35,18,18,6,24,19,1,5,12,6,3,1,0,0,1,0,0,0,143,174,219,0,2,6,0,0,0,55,21,11,54,98,99,22,42,90,3,2,2,5,3,5,4,5,6,0.030508475,569,0.000986698,0.145400593,0.10944206,0.089830508,0,0,0.071428571,0,0,0,0.2,0.123287671,0.131386861,0.069767442,0.12565445,0.081896552,0.025641026,0.06097561,0.075,0.285714286,0.157894737,0.05,0,0,0.142857143,0,0,0
秋田県立大学,71,北海道・東北地区,02_公立大学,4G,,,493,592,591,41,57,89,79,82,71,41,64,38,23,26,18,72,75,79,17,52,67,12,13,7,207,22,221,25,37,33,0,4,2,0,4,7,0,4,2,1,2,1,4,3,0,1,0,2,0,0,0,19,19,19,261,297,259,26,31,44,57,45,27,25,45,23,15,17,10,44,31,27,8,17,27,5,2,1,80,111,99,0.385786802,362,0.00098837,0.050709939,0.0625,0.055837563,0,0.070175439,0.02247191,0,0.048780488,0.098591549,0,0.0625,0.052631579,0.043478261,0.076923077,0.055555556,0.055555556,0.04,0,0.058823529,0,0.029850746,0,0,0,0.09178744,0.863636364,0.085972851
石川県立大学,72,東海・北陸・近畿地区,02_公立大学,その他,,,207,252,332,5,14,8,1,1,0,0,0,1,0,0,0,1,1,5,9,12,25,9,7,16,182,213,277,31,41,42,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,3,31,38,36,92,117,140,1,6,3,0,0,0,0,0,0,0,0,0,0,1,2,5,4,8,8,5,6,78,100,121,0.88253012,39,0.000555227,0.149758454,0.162698413,0.126506024,0,0.071428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0.12,0,0,0.1875,0.17032967,0.178403756,0.129963899
大阪公立大学,73,東海・北陸・近畿地区,02_公立大学,2G,,○,6922,6822,7699,1260,1178,1289,502,435,448,1428,1220,1139,347,326,375,304,493,315,177,231,251,1167,1421,1905,1711,1674,1920,536,484,537,97,75,74,39,43,26,159,116,93,14,17,29,18,14,18,14,13,23,92,116,184,101,86,88,3718,3659,3742,777,776,772,307,280,246,567,513,446,236,197,207,193,183,167,80,77,93,665,806,866,888,810,926,0.496817769,3817,0.012875572,0.077434268,0.070946936,0.069749318,0.076984127,0.063667233,0.057408844,0.077689243,0.098850575,0.058035714,0.111344538,0.095081967,0.081650571,0.040345821,0.052147239,0.077333333,0.059210526,0.028397566,0.057142857,0.079096045,0.056277056,0.091633466,0.078834619,0.081632653,0.096587927,0.059029807,0.051373955,0.045833333
北九州市立大学,74,九州・沖縄地区,02_公立大学,4G,,,279,293,519,103,122,134,19,28,40,2,2,2,17,5,18,55,52,127,20,31,133,12,7,13,47,45,49,14,14,30,4,4,6,0,0,0,0,0,1,0,0,0,6,5,10,1,1,9,0,0,1,3,4,2,181,179,241,73,90,80,13,15,17,1,0,0,9,2,6,34,21,50,14,21,60,4,2,3,32,27,25,0.119460501,454,0.00086796,0.050179211,0.04778157,0.057803468,0.038834951,0.032786885,0.044776119,0,0,0,0,0,0.5,0,0,0,0.109090909,0.096153846,0.078740157,0.05,0.032258065,0.067669173,0,0,0.076923077,0.063829787,0.088888889,0.040816327
岐阜薬科大学,75,東海・北陸・近畿地区,02_公立大学,4G,,,614,610,721,196,201,172,5,1,0,1,1,1,0,1,3,0,2,1,5,3,7,80,78,129,327,321,400,42,22,37,13,10,6,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,6,3,10,23,8,19,379,424,460,144,161,127,3,0,0,1,0,1,0,1,3,0,2,1,1,2,1,45,46,61,185,211,262,0.73370319,184,0.001205778,0.068403909,0.036065574,0.051317614,0.066326531,0.049751244,0.034883721,0,0,0,0,1,0,0,0,0.333333333,0,0,0,0,0,0.142857143,0.075,0.038461538,0.07751938,0.070336391,0.024922118,0.0475
九州歯科大学,76,九州・沖縄地区,02_公立大学,4G,,,256,282,318,1,4,19,3,4,14,13,6,0,1,0,0,0,2,2,1,1,4,132,171,194,101,92,84,7,6,8,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,4,7,3,1,0,192,164,162,1,0,8,2,2,11,5,4,0,1,0,0,0,2,1,1,0,2,104,101,98,75,53,41,0.874213836,39,0.000531813,0.02734375,0.021276596,0.025157233,0,0,0.052631579,0,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0.03030303,0.023391813,0.036082474,0.02970297,0.010869565,0
京都府立大学,77,東海・北陸・近畿地区,02_公立大学,4G,,,532,589,598,52,79,82,11,32,28,8,12,17,3,9,5,9,3,2,27,24,26,108,56,90,310,374,347,42,54,44,3,0,4,0,0,0,1,0,0,0,0,0,1,1,0,2,4,3,7,9,13,28,40,24,259,298,231,26,50,40,10,23,10,2,5,5,1,5,0,1,2,2,8,7,7,50,14,25,161,193,142,0.730769231,160,0.001000077,0.078947368,0.091680815,0.073578595,0.057692308,0,0.048780488,0,0,0,0.125,0,0,0,0,0,0.111111111,0.333333333,0,0.074074074,0.166666667,0.115384615,0.064814815,0.160714286,0.144444444,0.090322581,0.106951872,0.069164265
京都府立医科大学,78,東海・北陸・近畿地区,02_公立大学,3G,,,1859,2186,3136,42,58,121,15,14,50,11,9,35,3,0,4,0,0,4,3,0,16,1165,1462,2083,611,631,804,153,217,327,3,5,10,1,0,0,0,0,7,0,0,1,0,0,0,1,0,1,103,170,241,42,42,65,992,1118,1475,10,20,45,8,4,14,11,7,14,2,0,3,0,0,1,0,0,5,680,822,1050,278,263,341,0.92059949,230,0.005244551,0.082302313,0.09926807,0.104272959,0.071428571,0.086206897,0.082644628,0.066666667,0,0,0,0,0.2,0,0,0.25,0,0,0,0.333333333,0,0.0625,0.088412017,0.11627907,0.115698512,0.068739771,0.066561014,0.080845771
県立広島大学,79,中国・四国地区,02_公立大学,4G,,,290,293,354,36,22,18,4,8,1,0,0,1,15,1,6,24,40,35,5,10,9,63,63,93,143,147,183,7,8,13,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,9,3,6,4,142,133,126,17,9,8,3,4,0,0,0,0,9,0,5,19,24,18,4,6,3,28,24,17,62,65,77,0.779661017,70,0.000592019,0.024137931,0.027303754,0.036723164,0.027777778,0,0,0,0,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0.047619048,0.015873016,0.096774194,0.020979021,0.040816327,0.021857923
高知工科大学,80,中国・四国地区,02_公立大学,4G,,,397,436,633,53,82,117,51,54,91,157,124,139,44,28,40,52,61,81,2,17,60,9,12,29,28,53,64,16,23,27,1,3,8,0,3,1,8,8,6,0,1,1,4,3,6,0,2,0,1,0,2,1,3,2,225,256,334,37,58,70,30,34,51,71,77,86,31,16,21,33,33,33,1,7,32,8,8,8,14,21,29,0.146919431,528,0.00105861,0.040302267,0.052752294,0.042654028,0.018867925,0.036585366,0.068376068,0,0.055555556,0.010989011,0.050955414,0.064516129,0.043165468,0,0.035714286,0.025,0.076923077,0.049180328,0.074074074,0,0.117647059,0,0.111111111,0,0.068965517,0.035714286,0.056603774,0.03125
札幌医科大学,81,北海道・東北地区,02_公立大学,4G,,,1514,1523,1724,12,12,29,4,5,5,10,12,1,8,2,1,4,1,0,2,2,8,945,967,1116,497,504,541,120,158,127,2,1,4,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,77,117,87,39,35,34,794,814,876,1,2,16,0,0,0,6,3,0,6,1,0,1,0,0,0,0,0,502,542,572,266,255,281,0.961136891,44,0.002883165,0.079260238,0.103742613,0.073665893,0.166666667,0.083333333,0.137931034,0,0.2,0,0.1,0.083333333,0,0.125,0,0,0,0,0,0,0.5,0,0.081481481,0.120992761,0.077956989,0.078470825,0.069444444,0.06284658
滋賀県立大学,82,東海・北陸・近畿地区,02_公立大学,4G,,,309,396,494,34,37,77,52,43,52,45,63,72,13,8,7,17,28,48,29,54,73,15,8,26,102,148,133,12,16,21,1,1,1,0,1,2,2,4,1,1,0,0,0,1,4,1,1,5,1,0,4,6,8,3,164,225,230,19,23,37,32,25,35,32,38,34,7,1,3,13,17,31,10,18,19,3,2,12,47,96,58,0.321862348,329,0.000826151,0.038834951,0.04040404,0.042510121,0.029411765,0.027027027,0.012987013,0,0.023255814,0.038461538,0.044444444,0.063492063,0.013888889,0.076923077,0,0,0,0.035714286,0.083333333,0.034482759,0.018518519,0.068493151,0.066666667,0,0.153846154,0.058823529,0.054054054,0.022556391
